TYPE ECA
VALUE rr
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4214 129862 WALTERSHAUSEN 0 0 50.8918 10.543 353 
4215 123670 HERRNHUT -9999 9 51.0167 14.75 344 
4216 123682 NIEDERWORRESBACH -9999 9 49.7675 7.33517 302 
4217 123694 BADHERSFELD 0.2 0 50.8518 9.73633 272 
4218 123706 HERTEN -9999 9 51.5875 7.15333 60 
4219 123718 HERZBERG 0.1 0 51.6227 10.3697 238 
4220 123730 ATTENKAM 3.9 0 47.8735 11.3593 672 
4221 123742 HESSENTHAL -9999 9 49.9242 9.28617 287 
4222 123754 HIDDENSEE-VITTE 0 1 54.5727 13.1033 1 
4223 123766 HILDESHEIM -9999 9 52.1385 9.88433 117 
4224 123778 HILGENROTH 0.6 0 50.7362 7.652 295 
4225 123790 AUI.D.HALLERTAU-GUNZENHAUSEN -9999 9 48.5515 11.7078 483 
4226 123802 HINDFELD -9999 9 50.3677 10.5687 300 
4227 123814 EISFELD-WAFFENROD-HINTERROD -9999 9 50.4697 10.907 668 
4229 123838 AUE 0 0 50.5883 12.7093 387 
4230 123850 HOLLENSTEIN(KRAFTWERK) -9999 9 49.124 12.8595 403 
4231 123862 BERTSDORF-HORNITZ 0 0 50.9003 14.7418 270 
4232 123874 HOF(STADT) -9999 9 50.3212 11.9055 474 
4234 123898 HOFHEIM -9999 9 50.1352 10.5167 263 
4235 130018 WEIMAR-SCHONDORF 0.1 1 51.0182 11.3533 325 
4236 123922 HOHN 0 0 54.3077 9.53683 10 
4237 123934 HOHWACHT 0.4 0 54.319 10.6712 10 
4238 123946 HOLZDORF(FLUGPLATZ) 0 0 51.7677 13.1675 81 
4239 123958 HOLZHAUSENA.D.HAIDE -9999 9 50.2182 7.9085 397 
4240 123970 HOLZKIRCHEN 2 0 47.8765 11.6918 685 
4241 123982 AUGSBURG(SANKTSTEPHAN) -9999 9 48.3705 10.8908 490 
4242 123994 KR.HOLZMINDENBEVERN 0.4 0 51.8532 9.49183 110 
4243 124006 HOLZMINDEN-SILBERBORN -9999 9 51.7668 9.54067 440 
4244 124018 HOMBERG/OHM -9999 9 50.7263 9.0025 250 
4245 126586 NEUNKIRCHEN-WELLESWEILER 2.1 0 49.34 7.22483 236 
4246 127774 RHEINE-BENTLAGE 0.1 0 52.2868 7.38517 40 
4247 124054 HORLACHEN -9999 9 50.1512 11.6928 582 
4248 124066 HORNISGRINDE -9999 9 48.6085 8.2025 1119 
4250 124090 HUELL -9999 9 48.6017 11.6735 438 
4251 124102 HUMMERICH 0.7 0 50.5598 7.484 328 
4252 131902 HATTSTEDT 0 0 54.5235 9.03967 5 
4253 124126 IDAR-OBERSTEIN 2.4 0 49.7 7.3265 376 
4254 124138 IHRINGEN -9999 9 48.039 7.62633 193 
4255 124150 AULENDORF-SPIEGLER -9999 9 47.969 9.6675 560 
4256 124162 INGELFINGEN -9999 9 49.292 9.65183 209 
4258 124186 INGOLSTADT(FLUGPLATZ) 2.2 0 48.7093 11.5333 364 
4259 124198 MITTBACH -9999 9 48.1592 12.0258 621 
4260 124210 ISERLOHN-WESTIG -9999 9 51.3735 7.75917 230 
4261 124222 ITZEHOE 0 0 53.987 9.56833 21 
4262 124234 SCHLESWIG-JAGEL 0 0 54.454 9.519 21 
4263 124246 AURICH -9999 9 53.458 7.46733 4 
4264 124258 JESSEN/ELSTER -9999 9 51.7913 12.956 77 
4265 124270 JEVER -9999 9 53.5258 7.875 7 
4266 129070 MITTELNKIRCHEN-HOHENFELDE 0 0 53.5517 9.6055 1 
4267 124294 JULICH(FORSCH.-ANLAGE) -9999 9 50.907 6.406 91 
4268 125026 LANGENLIPSDORF 0 0 51.9177 13.0867 91 
4269 124318 KAHL/MAIN 2.6 0 50.0593 8.98983 107 
4270 124330 KAISERSBACH-CRONHUTTE 1.7 0 48.9175 9.68617 489 
4271 123382 HARBURG 1.5 0 48.789 10.7045 502 
4272 124606 KLEVE 0.3 0 51.7575 6.09067 46 
4273 124366 KALL-SISTIG 1.1 0 50.5017 6.52267 505 
4275 124390 KALTENNORDHEIM -9999 9 50.6233 10.1413 487 
4276 126418 NEUBURG/DONAU(FLUGPLATZ) 1.1 0 48.7055 11.206 380 
4277 124414 KASSEL-HARLESHAUSEN -9999 9 51.3345 9.451 198 
4278 124426 KAUFBEUREN -9999 9 47.8595 10.601 716 
4279 910856 LECHFELD 2 0 48.1765 10.85 562 
4280 124450 KEHL-ODELSHOFEN -9999 9 48.555 7.87517 141 
4281 121030 KIEL-HOLTENAU 0 0 54.372 10.1397 27 
4282 124474 KIRCHBERG/JAGST-HERBOLDSHAUSEN 0.7 0 49.1755 9.97517 426 
4283 124486 KIRCHDORF/POEL 0 1 54.0005 11.4348 12 
4284 124498 BADEN-BADEN-GEROLDSAU 17.2 0 48.7233 8.24133 240 
4285 124510 BADKISSINGEN 0 0 50.222 10.0748 282 
4286 124522 MULLHEIM 9 0 47.8042 7.63683 273 
4287 124534 KITZINGEN 0.4 0 49.7355 10.1742 188 
4288 124546 KLEINERFELDBERG/TAUNUS 3.7 0 50.2202 8.44217 826 
4289 129754 WITTENBORN 0.2 0 53.9195 10.225 39 
4290 124570 KLEINERINSELSBERG 0 0 50.8415 10.4755 732 
4292 124594 KLETTWITZ 0 0 51.554 13.8852 128 
4293 124606 KLEVE 0.3 0 51.7575 6.09067 46 
4294 124618 KLIPPENECK 6.4 0 48.1038 8.75333 973 
4295 124630 KLITZSCHENBEITORGAU 0 0 51.5188 12.9047 85 
4296 124642 KNITTLINGEN -9999 9 49.0232 8.75383 200 
4297 124654 KOBLENZ-HORCHHEIM -9999 9 50.3362 7.6 85 
4298 125302 KOLN-STAMMHEIM 4.1 0 50.9877 6.97367 43 
4299 124678 BADKONIGSHOFEN 0 0 50.2845 10.4413 288 
4300 124690 KONIGSMOOR -9999 9 53.2242 9.652 40 
4301 124702 BAIERSBRONN-OBERTAL -9999 9 48.5248 8.27067 622 
4302 126418 NEUBURG/DONAU(FLUGPLATZ) 1.1 0 48.7055 11.206 380 
4303 124726 KOSCHING 1 0 48.8252 11.4863 417 
4304 124738 BADKOSEN -9999 9 51.1338 11.7227 136 
4305 124750 KOTERBERG -9999 9 51.8538 9.32167 496 
4306 124762 KOTHEN(ANHALT) 0 0 51.7517 12.0055 76 
4307 124774 BADKOHLGRUB(ROSSHOF) 1.1 0 47.6595 11.0757 740 
4308 124786 KORBACH-LENGEFELD -9999 9 51.2672 8.82567 395 
4309 124798 BAINDT -9999 9 47.8385 9.657 467 
4310 124810 KRONACH 0.1 0 50.252 11.3198 312 
4311 124822 KRUMBACH-EDENHAUSEN -9999 9 48.251 10.4172 520 
4312 129754 WITTENBORN 0.2 0 53.9195 10.225 39 
4313 910771 KUEMMERSBRUCK -9999 9 49.4265 11.9 418 
4314 124858 KUNZELSAU -9999 9 49.275 9.68933 225 
4315 124870 KULMBACH -9999 9 50.1008 11.4503 330 
4316 124882 KUMHAUSEN -9999 9 48.508 12.1517 436 
4317 124894 KUSEL-FUNFBIRKEN -9999 9 49.5562 7.4085 296 
4318 124906 KYRITZ 0 0 52.9362 12.4063 40 
4319 124918 LAAGE(FLUGPLATZ) 0 0 53.9167 12.2765 40 
4320 124930 MERKLINGEN 7.7 0 48.5078 9.75933 685 
